Date,Open,High,Low,Close,Shares Traded
04-27-2021,14493.8,14667.55,14484.85,14653.05,442211685
04-28-2021,14710.5,14890.25,14694.95,14864.55,453990807
04-29-2021,14979,15044.35,14814.45,14894.9,511466673
04-30-2021,14747.35,14855.45,14601.7,14631.1,594744498
05-03-2021,14481.05,14673.85,14416.25,14634.15,443410846
05-04-2021,14687.25,14723.4,14461.5,14496.5,479657079
05-05-2021,14604.15,14637.9,14506.6,14617.85,437261063
05-06-2021,14668.35,14743.9,14611.5,14724.8,445281496
05-07-2021,14816.85,14863.05,14765.5,14823.15,483677266
05-10-2021,14928.25,14966.9,14892.5,14942.35,510598577
05-11-2021,14789.7,14900,14771.4,14850.75,616204478
05-12-2021,14823.55,14824.05,14649.7,14696.5,620318215
05-14-2021,14749.4,14749.65,14591.9,14677.8,602738614
05-17-2021,14756.25,14938,14725.35,14923.15,534516176
05-18-2021,15067.2,15137.25,15043.7,15108.1,571923125
05-19-2021,15058.6,15133.4,15008.85,15030.15,563293717
05-20-2021,15042.6,15069.8,14884.9,14906.05,467455658
05-21-2021,14987.8,15190,14985.85,15175.3,557730470
05-24-2021,15211.35,15256.25,15145.45,15197.7,566722866
05-25-2021,15291.75,15293.85,15163.4,15208.45,417323446
05-26-2021,15257.05,15319.9,15194.95,15301.45,377682051
05-27-2021,15323.95,15384.55,15272.5,15337.85,682374351
05-28-2021,15421.2,15469.65,15394.75,15435.65,455582440
05-31-2021,15437.75,15606.35,15374,15582.8,435999456
06-01-2021,15629.65,15660.75,15528.3,15574.85,409562322
06-02-2021,15520.35,15597.45,15459.85,15576.2,428641666
06-03-2021,15655.55,15705.1,15611,15690.35,410240584
06-04-2021,15712.5,15733.6,15622.35,15670.25,414162241
06-07-2021,15725.1,15773.45,15678.1,15751.65,393970049
06-08-2021,15773.9,15778.8,15680,15740.1,378164658
06-09-2021,15766.3,15800.45,15566.9,15635.35,457855735
06-10-2021,15692.1,15751.25,15648.5,15737.75,298297041
06-11-2021,15796.45,15835.55,15749.8,15799.35,363011297
06-14-2021,15791.4,15823.05,15606.5,15811.85,392862037
06-15-2021,15866.95,15901.6,15842.4,15869.25,323262818
06-16-2021,15847.5,15880.85,15742.6,15767.55,340191175
06-17-2021,15648.3,15769.35,15616.75,15691.4,357649243
06-18-2021,15756.5,15761.5,15450.9,15683.35,640821642
06-21-2021,15525.85,15765.15,15505.65,15746.5,351530072
06-22-2021,15840.5,15895.75,15752.1,15772.75,322237561
06-23-2021,15862.8,15862.95,15673.95,15686.95,287536735
06-24-2021,15737.3,15821.4,15702.7,15790.45,316662241
06-25-2021,15839.35,15870.8,15772.3,15860.35,314614380
06-28-2021,15915.35,15915.65,15792.15,15814.7,255099272
06-29-2021,15807.5,15835.9,15724.05,15748.45,360334724
06-30-2021,15776.9,15839.1,15708.75,15721.5,262386323
07-01-2021,15755.05,15755.55,15667.05,15680,224921644
07-02-2021,15705.85,15738.35,15635.95,15722.2,254808999
07-05-2021,15793.4,15845.95,15762.05,15834.35,207032153
07-06-2021,15813.75,15914.2,15801,15818.25,391410742
07-07-2021,15819.6,15893.55,15779.7,15879.65,329308646
07-08-2021,15855.4,15885.75,15682.9,15727.9,307928495
07-09-2021,15688.25,15730.85,15632.75,15689.8,243249366
07-12-2021,15766.8,15789.2,15644.75,15692.6,216272488
07-13-2021,15794,15820.8,15744.6,15812.35,246676549
07-14-2021,15808.7,15877.35,15764.2,15853.95,239924352
07-15-2021,15872.15,15952.35,15855,15924.2,284851049
07-16-2021,15958.35,15962.25,15882.6,15923.4,276298105
07-19-2021,15754.5,15836.9,15707.5,15752.4,242131813
07-20-2021,15703.95,15728.45,15578.55,15632.1,274284165
07-22-2021,15736.6,15834.8,15726.4,15824.05,265250867
07-23-2021,15856.8,15899.8,15768.4,15856.05,294098244
07-26-2021,15849.3,15893.35,15797,15824.45,267076679
07-27-2021,15860.5,15881.55,15701,15746.45,311012065
07-28-2021,15761.55,15767.5,15513.45,15709.4,318601589
07-29-2021,15762.7,15817.35,15737.8,15778.45,401584915
07-30-2021,15800.6,15862.8,15744.85,15763.05,400021237
08-02-2021,15874.9,15892.9,15834.65,15885.15,244847433
08-03-2021,15951.55,16146.9,15914.35,16130.75,341289658
08-04-2021,16195.25,16290.2,16176.15,16258.8,427337644
08-05-2021,16288.95,16349.45,16210.3,16294.6,418174517
08-06-2021,16304.4,16336.75,16223.3,16238.2,320087281
08-09-2021,16281.35,16320.75,16179.05,16258.25,240452917
08-10-2021,16274.8,16359.25,16202.25,16280.1,287989486
08-11-2021,16327.3,16338.75,16162.55,16282.25,277895886
08-12-2021,16303.65,16375.5,16286.9,16364.4,280181324
08-13-2021,16385.7,16543.6,16376.3,16529.1,321866286
08-16-2021,16518.4,16589.4,16480.75,16563.05,254049330
08-17-2021,16545.25,16628.55,16495.4,16614.6,297388470
08-18-2021,16691.95,16701.85,16535.85,16568.85,251796822
08-20-2021,16382.5,16509.55,16376.05,16450.5,350819323
08-23-2021,16592.25,16592.5,16395.7,16496.45,275597782
08-24-2021,16561.4,16647.1,16495.3,16624.6,275362819
08-25-2021,16654,16712.45,16617.5,16634.65,265920141
08-26-2021,16627.95,16683.7,16603.4,16636.9,253530997
08-27-2021,16642.55,16722.05,16565.6,16705.2,217405743
08-30-2021,16775.85,16951.5,16764.85,16931.05,283483108
08-31-2021,16947.5,17153.5,16915.85,17132.2,464390247
09-01-2021,17185.6,17225.75,17055.05,17076.25,301894634
09-02-2021,17095.4,17245.5,17059.7,17234.15,242377518
09-03-2021,17262.45,17340.1,17212.2,17323.6,261373795
09-06-2021,17399.35,17429.55,17345.55,17377.8,228045532
09-07-2021,17401.55,17436.5,17287,17362.1,243417811
09-08-2021,17375.75,17383.4,17254.2,17353.5,252652423
09-09-2021,17312.85,17379.65,17302.7,17369.25,241509352
09-13-2021,17363.55,17378.35,17269.15,17355.3,241053924
09-14-2021,17420.35,17438.55,17367.05,17380,230354386
09-15-2021,17387.65,17532.7,17386.9,17519.45,388191629
09-16-2021,17539.2,17644.6,17510.45,17629.5,503310763
09-17-2021,17709.65,17792.95,17537.65,17585.15,508285916
09-20-2021,17443.85,17622.75,17361.8,17396.9,339102046
09-21-2021,17450.5,17578.35,17326.1,17562,363578479
09-22-2021,17580.9,17610.45,17524,17546.65,295191136
09-23-2021,17670.85,17843.9,17646.55,17822.95,320514486
09-24-2021,17897.45,17947.65,17819.4,17853.2,360130853
09-27-2021,17932.2,17943.5,17802.9,17855.1,295714657
09-28-2021,17906.45,17912.85,17576.1,17748.6,397997281
09-29-2021,17657.95,17781.75,17608.15,17711.3,562237732
09-30-2021,17718.9,17742.15,17585.35,17618.15,378592721
10-01-2021,17531.9,17557.15,17452.9,17532.05,305763919
10-04-2021,17615.55,17750.9,17581.35,17691.25,295761839
10-05-2021,17661.35,17833.45,17640.9,17822.3,427000191
10-06-2021,17861.5,17884.6,17613.15,17646,395833550
10-07-2021,17810.55,17857.55,17763.8,17790.35,419890959
10-08-2021,17886.85,17941.85,17840.35,17895.2,324066351
10-11-2021,17867.55,18041.95,17839.1,17945.95,375756457
10-12-2021,17915.8,18008.65,17864.95,17991.95,355568313
10-13-2021,18097.85,18197.8,18050.75,18161.75,506679748
10-14-2021,18272.85,18350.75,18248.7,18338.55,538714440
10-18-2021,18500.1,18543.15,18445.3,18477.05,469883515
10-19-2021,18602.35,18604.45,18377.7,18418.75,368230309
10-20-2021,18439.9,18458.3,18209.35,18266.6,371276478
10-21-2021,18382.7,18384.2,18048,18178.1,365902008
10-22-2021,18230.7,18314.25,18034.35,18114.9,324748084
10-25-2021,18229.5,18241.4,17968.5,18125.4,418703647
10-26-2021,18154.5,18310.45,18099.3,18268.4,341377869
10-27-2021,18295.85,18342.05,18167.9,18210.95,335248487
10-28-2021,18187.65,18190.7,17799.45,17857.25,374205784
10-29-2021,17833.05,17915.85,17613.1,17671.65,336466864
11-01-2021,17783.15,17954.1,17697.1,17929.65,281190130
11-02-2021,17970.9,18012.25,17847.6,17888.95,296441997
11-03-2021,17947.95,17988.75,17757.95,17829.2,330995982
11-04-2021,17935.05,17947.55,17900.6,17916.8,48520856
11-08-2021,18040.2,18087.8,17836.1,18068.55,338919483
11-09-2021,18084.35,18112.6,17983.05,18044.25,270197527
11-10-2021,17973.45,18061.25,17915,18017.2,261446523
11-11-2021,17967.45,17971.35,17798.2,17873.6,232121151
11-12-2021,17977.6,18123,17905.9,18102.75,249111898
11-15-2021,18140.95,18210.15,18071.3,18109.45,280428633
11-16-2021,18127.05,18132.65,17958.8,17999.2,267431829
11-17-2021,17939.35,18022.65,17879.25,17898.65,295715938
11-18-2021,17890.55,17945.6,17688.5,17764.8,278425148
11-22-2021,17796.25,17805.25,17280.45,17416.55,356400425
11-23-2021,17281.75,17553.7,17216.1,17503.35,308843255
11-24-2021,17550.05,17600.6,17354,17415.05,298052158
